Word		Original_feature		Predicted_feature
उन्होंने		pl		sg
उसे		sg		sg
जमकर		UNK		UNK
पीटा		sg		sg
।		UNK		UNK
प्रशांत		sg		sg
के		pl		pl
अभिभावकों		pl		pl
के		UNK		UNK
अनुसार		UNK		UNK
उसके		sg		sg
चेहरे		sg		sg
,		UNK		UNK
गले		sg		sg
व		UNK		UNK
छाती		sg		sg
पर		UNK		UNK
जबरदस्त		any		any
प्रहार		pl		sg
किए		pl		pl
गए		pl		pl
।		UNK		UNK
इसके		sg		sg
चलते		UNK		UNK
उसका		sg		sg
चेहरा		sg		sg
व		UNK		UNK
गला		sg		sg
सूज		sg		sg
गया		sg		sg
।		UNK		UNK
प्रशांत		sg		sg
के		sg		sg
रिश्तेदार		sg		any
विकास		sg		sg
टोकस		sg		sg
के		UNK		UNK
अनुसार		UNK		UNK
प्रशांत		sg		sg
लगभग		UNK		UNK
दो		any		any
घंटे		sg		sg
तक		UNK		UNK
कॉलेज		sg		sg
में		UNK		UNK
लहू		sg		sg
-		UNK		UNK
लुहान		any		sg
पड़ा		sg		sg
रहा		sg		sg
,		UNK		UNK
लेकिन		UNK		UNK
कॉलेज		sg		sg
प्रशासन		sg		sg
ने		UNK		UNK
उसे		sg		sg
फर्स्ट		sg		any
एड		sg		sg
देने		any		any
के		UNK		UNK
बजाय		UNK		UNK
मामले		sg		sg
को		UNK		UNK
रफा		sg		sg
-		UNK		UNK
दफा		sg		sg
कराने		sg		sg
का		sg		sg
प्रयास		sg		sg
किया		sg		sg
।		UNK		UNK
बाद		sg		sg
में		UNK		UNK
प्रशांत		sg		sg
के		sg		sg
पिता		sg		sg
अजीत		sg		sg
टोकस		sg		sg
को		UNK		UNK
यह		sg		sg
जानकारी		sg		sg
दी		sg		sg
गई		sg		sg
।		UNK		UNK
प्रशांत		sg		sg
को		UNK		UNK
लेकर		any		any
अजीत		sg		sg
टोकस		sg		sg
सिविल		sg		any
अस्पताल		sg		pl
गए		sg		pl
।		UNK		UNK
वहाँ		UNK		UNK
डॉक्टरों		pl		pl
ने		UNK		UNK
प्रशांत		sg		sg
की		sg		sg
हालत		sg		sg
देखकर		any		any
उसे		sg		sg
अस्पताल		sg		sg
में		UNK		UNK
दाखिल		any		any
कर		sg		sg
लिया		sg		sg
।		UNK		UNK
प्रशांत		sg		sg
१८		sg		sg
अगस्त		sg		sg
तक		UNK		UNK
अस्पताल		sg		sg
में		UNK		UNK
रहा		sg		sg
।		UNK		UNK
बाद		sg		sg
में		UNK		UNK
वहाँ		UNK		UNK
से		UNK		UNK
उसे		sg		sg
डिस्चार्ज		UNK		sg
कराकर		any		any
दिल्ली		sg		sg
के		sg		sg
एक		any		any
निजी		any		any
अस्पताल		sg		sg
में		UNK		UNK
दाखिल		any		any
किया		sg		sg
गया		sg		sg
।		UNK		UNK
अजीत		sg		sg
टोकस		sg		sg
के		UNK		UNK
अनुसार		UNK		UNK
अभी		UNK		UNK
भी		UNK		UNK
प्रशांत		sg		sg
पूरी		sg		sg
तरह		sg		sg
से		UNK		UNK
ठीक		any		any
नहीं		UNK		UNK
हुआ		sg		sg
है		sg		sg
।		UNK		UNK
प्रशांत		sg		sg
के		pl		pl
परिजनों		pl		pl
का		sg		sg
आरोप		sg		sg
है		sg		sg
कि		UNK		UNK
कॉलेज		sg		sg
प्रशासन		sg		sg
ने		UNK		UNK
रैगिंग		sg		sg
करने		pl		pl
वाले		pl		pl
छात्रों		pl		pl
के		UNK		UNK
खिलाफ		UNK		UNK
अभी		UNK		UNK
तक		UNK		UNK
कोई		sg		sg
कार्रवाई		sg		sg
नहीं		UNK		UNK
की		sg		sg
है		sg		sg
।		UNK		UNK
उनके		pl		sg
अनुसार		UNK		UNK
कॉलेज		sg		sg
प्रशासन		sg		sg
इस		sg		sg
मामले		sg		sg
पर		UNK		UNK
लीपा		sg		sg
-		UNK		UNK
पोती		sg		sg
कर		any		any
दोषी		any		any
छात्रों		pl		pl
को		UNK		UNK
बचाने		sg		sg
की		sg		sg
कोशिश		sg		sg
कर		sg		sg
रहा		sg		sg
है		sg		sg
।		UNK		UNK
प्रशांत		sg		sg
ने		UNK		UNK
कॉलेज		sg		sg
के		pl		sg
सीनियर		any		any
छात्र		pl		sg
रविंद्र		sg		sg
यादव		sg		sg
,		UNK		UNK
सचिन		sg		sg
सहरावत		sg		sg
व		UNK		UNK
प्रवीण		sg		sg
नागर		sg		sg
सहित		UNK		UNK
सात		any		any
छात्रों		pl		pl
पर		UNK		UNK
रैगिंग		sg		sg
करने		sg		sg
का		sg		sg
आरोप		sg		sg
लगाया		sg		sg
है		sg		sg
।		UNK		UNK
इस		sg		sg
बीच		sg		sg
लॉ		sg		sg
कॉलेज		sg		sg
के		sg		sg
निदेशक		sg		sg
प्रो.		sg		sg
जे.		sg		sg
एल.		sg		sg
कौल		sg		sg
ने		UNK		UNK
स्वीकार		sg		sg
किया		sg		sg
कि		UNK		UNK
१७		sg		sg
अगस्त		sg		sg
को		UNK		UNK
कॉलेज		sg		sg
परिसर		sg		sg
में		UNK		UNK
एक		any		any
घटना		sg		sg
हुई		sg		sg
है		sg		sg
।		UNK		UNK
हालांकि		UNK		UNK
उन्होंने		sg		sg
इसे		sg		sg
रैगिंग		sg		sg
का		sg		sg
मामला		sg		sg
मानने		any		any
से		UNK		UNK
इन्कार		sg		sg
कर		sg		sg
दिया		sg		sg
।		UNK		UNK
उन्होंने		sg		sg
कहा		sg		sg
कि		UNK		UNK
इस		sg		sg
घटना		sg		sg
की		sg		sg
शिकायत		sg		sg
उन्हें		sg		sg
मिली		sg		sg
है		sg		sg
।		UNK		UNK
इस		sg		sg
शिकायत		sg		sg
को		UNK		UNK
कॉलेज		sg		sg
की		sg		sg
अनुशासनात्मक		any		any
समिति		sg		sg
को		UNK		UNK
भेज		sg		sg
दिया		sg		sg
गया		sg		sg
है		sg		sg
।		UNK		UNK
समिति		sg		sg
की		sg		sg
रिपोर्ट		sg		sg
के		sg		sg
आधार		sg		sg
पर		UNK		UNK
ही		UNK		UNK
कार्रवाई		sg		sg
होगी		sg		sg
।		UNK		UNK
पुरातत्वविदों		pl		pl
का		sg		sg
मानना		any		any
है		sg		sg
कि		UNK		UNK
अमृतसर		sg		sg
का		sg		sg
इतिहास		sg		sg
यहां		UNK		UNK
की		sg		sg
जमीन		sg		sg
में		UNK		UNK
आज		sg		sg
भी		UNK		UNK
दफन		any		sg
है		sg		sg
।		UNK		UNK
खुदाई		sg		sg
के		UNK		UNK
दौरान		sg		sg
मिले		pl		sg
कुछ		UNK		UNK
अवशेष		pl		any
उनकी		pl		sg
इस		sg		sg
बात		sg		sg
को		UNK		UNK
प्रमाणित		any		any
भी		UNK		UNK
करते		pl		pl
हैं		pl		pl
।		UNK		UNK
अंग्रेजों		pl		pl
द्वारा		UNK		UNK
चिह्नित		any		any
नगर		sg		sg
के		UNK		UNK
करीब		sg		UNK
पांच		any		any
जगहों		pl		pl
कोटली		sg		sg
बसावा		sg		sg
सिंह		sg		sg
,		UNK		UNK
अलगो		sg		sg
कोठी		sg		sg
,		UNK		UNK
हर्षाछीना		sg		sg
,		UNK		UNK
पक्का		sg		sg
विंड		sg		sg
एवं		UNK		UNK
अटारी		sg		sg
में		UNK		UNK
जमीन		sg		sg
की		sg		sg
ऊपरी		any		any
सतह		sg		sg
की		sg		sg
खुदाई		sg		sg
में		UNK		UNK
ही		UNK		UNK
काफी		UNK		UNK
संख्या		sg		sg
में		UNK		UNK
मिट्टी		sg		sg
के		pl		sg
बर्तन		pl		UNK
,		UNK		UNK
मूर्तियां		pl		pl
,		UNK		UNK
गहने		pl		sg
,		UNK		UNK
खिलौने		pl		sg
,		UNK		UNK
चांदी		sg		sg
के		pl		sg
सिक्के		pl		sg
,		UNK		UNK
NULL		UNK		UNK
असलहे		pl		pl
मिले		pl		pl
हैं		pl		pl
।		UNK		UNK
प्रसिद्ध		any		any
शायर		sg		sg
देवदर्द		sg		sg
ने		UNK		UNK
भारतीय		any		any
पुरातत्व		sg		sg
विभाग		sg		sg
(		UNK		UNK
एएसआई		sg		sg
)		UNK		UNK
के		pl		pl
अधिकारियों		pl		pl
गुरदेव		sg		sg
सिंह		sg		sg
,		UNK		UNK
कुलदीप		sg		sg
सिंह		sg		sg
तथा		UNK		UNK
हीरा		sg		sg
सिंह		sg		sg
के		sg		sg
सहयोग		sg		sg
से		UNK		UNK
ऐसी		pl		any
वस्तुएं		pl		pl
खोजी		pl		pl
हैं		pl		pl
।		UNK		UNK
यह		sg		sg
वस्तुएं		pl		pl
उनके		sg		pl
पास		sg		sg
हजारों		pl		pl
की		sg		sg
संख्या		sg		sg
में		UNK		UNK
मौजूद		any		any
हैं		pl		pl
।		UNK		UNK
खुदाई		sg		sg
के		UNK		UNK
दौरान		sg		sg
खेमकरण		sg		sg
साइट		sg		sg
से		UNK		UNK
कुषाण		sg		sg
राजा		sg		sg
कैटफाइसस		sg		sg
-		UNK		UNK
प्रथम		sg		sg
की		sg		sg
पत्थर		sg		sg
की		sg		sg
छोटी		sg		sg
सी		sg		sg
मूर्ति		sg		sg
मिली		sg		sg
है		sg		sg
,		UNK		UNK
जो		sg		sg
उस		sg		sg
समय		sg		sg
विकसित		any		any
मूर्ति		sg		sg
कला		sg		sg
का		sg		sg
उदाहरण		sg		sg
है		sg		sg
।		UNK		UNK
हर्षाछीना		sg		sg
से		UNK		UNK
आज		sg		sg
के		sg		pl
सबसे		UNK		UNK
महंगे		sg		sg
पत्थर		sg		sg
जेड्स		sg		sg
की		sg		sg
रिंग		sg		sg
भी		UNK		UNK
मिली		sg		sg
है		sg		sg
,		UNK		UNK
जिसकी		sg		sg
उम्र		sg		sg
करीब		UNK		UNK
2500		any		any
साल		pl		sg
आंकी		sg		sg
गई		sg		sg
है		sg		sg
।		UNK		UNK
यहीं		UNK		UNK
से		UNK		UNK
भारी		any		any
मात्रा		sg		sg
में		UNK		UNK
मिट्टी		sg		sg
के		pl		sg
बीड्स		pl		sg
(		UNK		UNK
छेद		sg		sg
वाली		pl		pl
गोलियां		pl		pl
)		UNK		UNK
मिली		pl		pl
हैं		pl		pl
।		UNK		UNK
इन		pl		pl
गोलियों		pl		pl
को		UNK		UNK
उस		sg		sg
वक्त		sg		sg
तकली		sg		sg
की		UNK		UNK
तरह		UNK		sg
कपड़ा		sg		sg
बनाने		any		any
के		UNK		UNK
लिए		UNK		UNK
धागा		sg		sg
तैयार		any		any
करने		any		any
में		UNK		UNK
इस्तेमाल		sg		sg
किया		sg		sg
जाता		sg		sg
था		sg		sg
।		UNK		UNK
इनकी		pl		pl
उम्र		sg		sg
करीब		UNK		UNK
छह		any		any
हजार		any		any
साल		pl		sg
बताई		sg		sg
गई		sg		sg
है		sg		sg
।		UNK		UNK
इसी		sg		sg
तरह		sg		sg
से		UNK		UNK
कोटली		sg		sg
वसावासिंह		sg		sg
व		UNK		UNK
अन्य		any		any
कुछ		UNK		UNK
क्षेत्रों		pl		pl
से		UNK		UNK
भारी		any		any
मात्रा		sg		sg
में		UNK		UNK
चांदी		sg		sg
के		pl		pl
सिक्के		pl		pl
मिले		pl		pl
हैं		pl		pl
।		UNK		UNK
ये		pl		pl
सिक्के		pl		sg
मटर		sg		sg
के		sg		sg
दाने		sg		any
के		UNK		UNK
बराबर		UNK		UNK
व		UNK		UNK
चपटे		sg		pl
आकार		sg		sg
के		pl		pl
हैं		pl		pl
और		UNK		UNK
इन		pl		pl
पर		UNK		UNK
उस		sg		sg
दौर		sg		sg
की		sg		sg
भाषा		sg		sg
उकेरी		sg		sg
गई		sg		sg
।		UNK		UNK
ये		pl		pl
सिक्के		pl		pl
कुषाणकालीन		any		any
हैं		pl		pl
।		UNK		UNK
इनसे		pl		sg
प्रमाणित		any		any
होता		sg		sg
है		sg		sg
कि		UNK		UNK
उस		sg		sg
दौर		sg		sg
में		UNK		UNK
यहां		UNK		UNK
कारोबार		sg		sg
चरम		sg		sg
पर		UNK		UNK
था		sg		sg
और		UNK		UNK
उसे		sg		sg
संचालित		any		any
करने		any		any
के		UNK		UNK
लिए		UNK		UNK
सिक्कों		pl		pl
की		sg		sg
प्रथा		sg		sg
जारी		any		any
थी		sg		sg
।		UNK		UNK
यहां		UNK		UNK
सिक्कों		pl		pl
की		sg		sg
ढलाई		sg		sg
का		sg		sg
काम		sg		sg
भी		UNK		UNK
किया		sg		sg
जाता		sg		sg
था		sg		sg
।		UNK		UNK
पुरातत्वविदों		pl		pl
को		UNK		UNK
इन		pl		pl
साइटों		pl		pl
से		UNK		UNK
कुछ		UNK		UNK
पुरातन		any		any
जेवरात		sg		sg
के		pl		sg
अवशेष		pl		sg
भी		UNK		UNK
हाथ		sg		pl
लगे		pl		pl
हैं		pl		pl
।		UNK		UNK
इनमें		pl		pl
कार्नीलियन		sg		sg
,		UNK		UNK
आईव्री		sg		sg
,		UNK		UNK
नीलम		sg		sg
,		UNK		UNK
पन्ना		sg		sg
,		UNK		UNK
पुखराज		sg		sg
,		UNK		UNK
NULL		UNK		UNK
कैटआई		sg		sg
आदि		UNK		UNK
के		pl		pl
मनके		pl		pl
शामिल		any		any
हैं		pl		pl
।		UNK		UNK
श्रीदर्द		sg		sg
कहते		sg		pl
हैं		sg		pl
कि		UNK		UNK
इन		pl		pl
खुदाइयों		pl		pl
में		UNK		UNK
मिट्टी		sg		sg
के		pl		sg
फ्लास्क		pl		sg
,		UNK		UNK
सुराही		pl		sg
व		UNK		UNK
विशेष		any		any
किस्म		sg		sg
के		pl		sg
गोल		any		sg
बर्तन		pl		sg
व		UNK		UNK
खिलौने		pl		pl
भी		UNK		UNK
मिले		pl		pl
हैं		pl		pl
।		UNK		UNK
इनकी		pl		pl
उम्र		sg		sg
तीन		any		any
हजार		any		any
साल		pl		sg
आंकी		sg		sg
गई		sg		sg
है		sg		sg
।		UNK		UNK
फ्लास्क		sg		sg
की		sg		sg
पेंदी		sg		sg
जालीदार		any		any
है		sg		sg
।		UNK		UNK
अनुमान		sg		sg
है		sg		sg
कि		UNK		UNK
इन		pl		pl
बर्तनों		pl		pl
को		UNK		UNK
उस		sg		sg
दौरान		sg		sg
आयुर्वेदिक		any		any
औषधि		sg		sg
तैयार		any		any
करने		any		any
के		UNK		UNK
लिए		UNK		UNK
भस्म		sg		sg
बनाने		any		any
में		UNK		UNK
इस्तेमाल		sg		sg
किया		sg		sg
जाता		sg		sg
रहा		sg		sg
होगा		sg		sg
।		UNK		UNK
इसी		sg		sg
तरह		sg		sg
से		UNK		UNK
देवी		pl		sg
-		UNK		UNK
देवताओं		pl		pl
की		sg		sg
मूर्ति		sg		sg
तैयार		any		any
करने		any		any
के		UNK		UNK
लिए		UNK		UNK
मिट्टी		sg		sg
की		pl		pl
कुछ		UNK		UNK
डाइयां		pl		pl
भी		UNK		UNK
हाथ		sg		pl
लगी		pl		pl
हैं		pl		pl
,		UNK		UNK
जो		pl		sg
उस		sg		sg
दौरान		sg		sg
विकसित		any		any
हुई		sg		sg
मृदाकला		sg		sg
की		sg		sg
स्थिति		sg		sg
को		UNK		UNK
बयान		sg		sg
करती		pl		pl
हैं		pl		pl
।		UNK		UNK
वंडाला		sg		sg
में		UNK		UNK
हुई		sg		sg
खुदाई		sg		sg
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
उन्होंने		sg		sg
बताया		sg		sg
कि		UNK		UNK
यहां		UNK		UNK
से		UNK		UNK
जमीन		sg		sg
के		UNK		UNK
नीचे		sg		sg
से		UNK		UNK
अस्सी		any		any
रदों		pl		pl
की		pl		pl
ईंटें		pl		pl
मिली		pl		pl
हैं		pl		pl
,		UNK		UNK
जो		pl		sg
उस		sg		sg
दौरान		sg		sg
की		sg		sg
बेहतरीन		any		any
भवन		sg		sg
निर्माण		sg		sg
शैली		sg		sg
की		sg		pl
गवाह		sg		sg
हैं		pl		pl
।		UNK		UNK
खेमकरण		sg		sg
के		UNK		UNK
पास		sg		sg
बौद्ध		sg		sg
स्तूप		sg		sg
होने		sg		sg
का		sg		sg
दावा		sg		sg
करते		sg		sg
हुए		sg		sg
दर्द		sg		sg
ने		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
अगर		UNK		UNK
उक्त		any		any
स्थानों		pl		pl
की		sg		sg
खुदाई		sg		sg
की		sg		sg
जाए		sg		sg
तो		UNK		UNK
और		UNK		UNK
भी		UNK		UNK
कई		UNK		UNK
रहस्य		pl		pl
उजागर		any		any
हो		pl		pl
सकते		pl		pl
हैं		pl		pl
।		UNK		UNK
कैबिनेट		sg		sg
सचिव		sg		sg
बी.		sg		sg
के.		sg		sg
चतुर्वेदी		sg		sg
ने		UNK		UNK
मेट्रो		sg		sg
चीफ		sg		sg
ई.		sg		sg
श्रीधरन		sg		sg
से		UNK		UNK
दिल्ली		sg		sg
और		UNK		UNK
मुंबई		sg		sg
हवाई		any		any
अड्डों		pl		pl
के		sg		sg
आधुनिकीकरण		sg		sg
की		sg		sg
प्रक्रिया		sg		sg
के		sg		sg
मूल्यांकन		sg		sg
के		UNK		UNK
लिए		UNK		UNK
गठित		any		any
उच्च		any		any
स्तरीय		any		any
पैनल		sg		sg
की		sg		sg
मदद		sg		sg
करने		any		any
को		UNK		UNK
कहा		sg		sg
है		sg		sg
।		UNK		UNK
सरकारी		any		any
सूत्रों		pl		pl
ने		UNK		UNK
बुधवार		sg		sg
को		UNK		UNK
यह		sg		sg
जानकारी		sg		sg
देते		sg		sg
हुए		sg		sg
कहा		sg		sg
कि		UNK		UNK
दोनों		pl		pl
हवाईअड्डों		pl		pl
की		sg		sg
निविदा		sg		sg
प्रक्रिया		sg		sg
पर		UNK		UNK
भी		UNK		UNK
श्रीधरन		sg		sg
की		sg		sg
राय		sg		sg
माँगी		sg		sg
गई		sg		sg
है		sg		sg
।		UNK		UNK
NULL		UNK		UNK
गौरतलब		any		any
है		sg		sg
कि		UNK		UNK
हवाई		any		any
अड्डों		pl		pl
के		sg		sg
आधुनिकीकरण		sg		sg
की		sg		sg
प्रक्रिया		sg		sg
के		sg		sg
मूल्यांकन		sg		sg
के		UNK		UNK
लिए		UNK		UNK
अंतर		sg		sg
-		UNK		UNK
मंत्रालय		sg		sg
समूह		sg		sg
में		UNK		UNK
मतभेद		sg		sg
पैदा		any		any
होने		sg		sg
के		UNK		UNK
बाद		sg		sg
पिछले		sg		sg
सप्ताह		sg		sg
कैबिनेट		sg		sg
सचिव		sg		sg
के		sg		sg
नेतृत्व		sg		sg
में		UNK		UNK
समिति		sg		sg
गठित		any		any
की		sg		sg
गई		sg		sg
थी		sg		sg
।		UNK		UNK
इस		sg		sg
समिति		sg		sg
के		pl		pl
अन्य		any		any
सदस्यों		pl		pl
में		UNK		UNK
नागरिक		sg		sg
उड्डयन		sg		sg
,		UNK		UNK
आर्थिक		any		any
मामलों		pl		pl
और		UNK		UNK
विधि		sg		sg
मंत्रालयों		pl		pl
के		pl		pl
सचिव		pl		sg
और		UNK		UNK
योजना		sg		sg
आयोग		sg		sg
के		pl		pl
सदस्य		sg		sg
सचिव		pl		pl
शामिल		any		any
हैं		pl		pl
।		UNK		UNK
यह		sg		sg
समिति		sg		sg
रक्षा		sg		sg
मंत्री		sg		sg
प्रणब		sg		sg
मुखर्जी		sg		sg
के		sg		sg
नेतृत्व		sg		sg
में		UNK		UNK
मंत्रियों		pl		pl
के		sg		sg
समूह		sg		sg
को		UNK		UNK
निवेदकों		pl		pl
के		sg		sg
अंतिम		any		any
चयन		sg		sg
के		UNK		UNK
लिए		UNK		UNK
तय		any		any
नियमों		pl		pl
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
और		UNK		UNK
जरूरत		sg		sg
पड़ने		any		any
पर		UNK		UNK
इसके		pl		sg
विकल्प		pl		UNK
सुझाने		any		any
में		UNK		UNK
सलाह		sg		sg
देगी		sg		sg
।		UNK		UNK
दोनों		pl		pl
हवाई		any		any
अड्डों		pl		pl
के		sg		sg
आधुनिकीकरण		sg		sg
के		UNK		UNK
लिए		UNK		UNK
इस		sg		sg
समय		sg		sg
रिलायंस		sg		sg
और		UNK		UNK
जीएमआर		sg		sg
के		sg		sg
नेतृत्व		sg		sg
में		UNK		UNK
एक		any		any
समूह		sg		sg
समेत		UNK		UNK
छह		any		any
निवेदक		pl		sg
हैं		pl		pl
।		UNK		UNK
चयन		sg		sg
के		pl		pl
दो		any		any
निवेदक		pl		sg
भारतीय		any		any
हवाईअड्डा		sg		sg
प्राधिकरण		sg		sg
के		UNK		UNK
साथ		sg		sg
दो		any		any
संयुक्त		any		any
उद्यम		pl		sg
गठित		any		any
कर		any		any
दोनों		pl		pl
हवाई		any		any
अड्डों		pl		pl
का		sg		sg
आधुनिकीकरण		sg		sg
करेंगे		pl		pl
।		UNK		UNK
गुजरात		sg		sg
के		sg		sg
एक		any		any
भौतिकशास्त्री		sg		sg
को		UNK		UNK
अमेरिकी		any		any
अंतरिक्ष		sg		sg
एजेंसी		sg		sg
नासा		sg		sg
की		sg		sg
उस		sg		sg
शोध		sg		sg
टीम		sg		sg
में		UNK		UNK
शामिल		any		any
किया		sg		sg
गया		sg		sg
है		sg		sg
जो		sg		sg
विभिन्न		any		any
ग्रहों		pl		pl
पर		UNK		UNK
पानी		sg		sg
जैसे		pl		pl
तत्त्वों		pl		pl
पर		UNK		UNK
सूर्य		sg		sg
की		pl		pl
किरणों		pl		pl
के		sg		sg
प्रभाव		sg		sg
का		sg		sg
अध्ययन		sg		sg
करेगी		sg		sg
।		UNK		UNK
नासा		sg		sg
की		sg		sg
शोध		sg		sg
टीम		sg		sg
में		UNK		UNK
शामिल		any		any
होने		sg		sg
वाले		sg		sg
इस		sg		sg
गुजराती		any		sg
वैज्ञानिक		sg		sg
का		sg		sg
नाम		sg		sg
कमल		sg		sg
नयन		sg		sg
जोशीपुरा		sg		sg
है		sg		sg
।		UNK		UNK
जोशीपुरा		sg		sg
सरदार		sg		sg
पटेल		sg		sg
विश्वविद्यालय		sg		sg
में		UNK		UNK
भौतिकी		sg		sg
के		sg		pl
प्रोफेसर		sg		pl
हैं		sg		pl
।		UNK		UNK
जोशीपुरा		sg		sg
का		sg		sg
कहना		any		any
है		sg		sg
,		UNK		UNK
मुझे		sg		sg
नासा		sg		sg
के		pl		pl
उन		pl		pl
शोधकर्ताओं		pl		pl
की		sg		sg
टीम		sg		sg
में		UNK		UNK
शामिल		any		any
किया		sg		sg
गया		sg		sg
है		sg		sg
जिन्हें		pl		pl
विभिन्न		any		any
ग्रहों		pl		pl
पर		UNK		UNK
पानी		sg		sg
जैसे		pl		pl
तत्त्वों		pl		pl
पर		UNK		UNK
सूर्य		sg		sg
की		pl		pl
किरणों		pl		pl
के		sg		sg
रासायनिक		any		any
और		UNK		UNK
भौतिक		any		any
प्रभाव		sg		sg
का		sg		sg
अध्ययन		sg		sg
करने		sg		sg
का		sg		sg
दायित्व		sg		sg
सौंपा		sg		sg
गया		sg		sg
है		sg		sg
।		UNK		UNK
नासा		sg		sg
से		UNK		UNK
जुड़ने		sg		sg
का		sg		sg
मौका		sg		sg
उन्हें		sg		pl
तब		UNK		UNK
मिला		sg		sg
जब		UNK		UNK
उन्होंने		sg		sg
दो		any		any
वर्ष		pl		sg
पहले		sg		sg
नासा		sg		sg
के		sg		sg
एक		any		any
वैज्ञानिक		sg		any
अनिल		sg		sg
भारद्वाज		sg		sg
को		UNK		UNK
ई		sg		sg
-		UNK		UNK
मेल		sg		sg
किया		sg		sg
।		UNK		UNK
जब		UNK		UNK
भारद्वाज		sg		sg
को		UNK		UNK
जोशीपुरा		sg		sg
के		sg		sg
ई		sg		sg
-		UNK		UNK
मेल		sg		sg
से		UNK		UNK
इसकी		sg		sg
जानकारी		sg		sg
मिली		sg		sg
कि		UNK		UNK
सरदार		sg		sg
पटेल		sg		sg
विश्वविद्यालय		sg		sg
का		sg		sg
भौतिक		sg		sg
विभाग		sg		sg
भी		UNK		UNK
ऐसी		sg		sg
ही		UNK		UNK
एक		any		any
शोध		sg		sg
परियोजना		sg		sg
पर		UNK		UNK
काम		sg		sg
कर		sg		sg
रहा		sg		sg
है		sg		sg
,		UNK		UNK
तब		UNK		UNK
उन्होंने		sg		sg
नासा		sg		sg
के		pl		pl
अधिकारियों		pl		pl
में		UNK		UNK
से		UNK		UNK
एक		any		any
रॉन		sg		sg
इल्सनर		sg		sg
से		UNK		UNK
बात		sg		sg
-		UNK		UNK
चीत		sg		sg
की		sg		sg
।		UNK		UNK
उन्होंने		sg		sg
इल्सनर		sg		sg
को		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
जोशीपुरा		sg		sg
इस		sg		sg
शोध		sg		sg
परियोजना		sg		sg
में		UNK		UNK
मददगार		any		any
साबित		any		any
हो		sg		pl
सकते		sg		pl
हैं		sg		pl
।		UNK		UNK
इल्सनर		sg		sg
ने		UNK		UNK
जोशीपुरा		sg		sg
को		UNK		UNK
वैज्ञानिकों		pl		pl
की		sg		sg
इस		sg		sg
टीम		sg		sg
में		UNK		UNK
शामिल		any		any
करने		sg		sg
की		sg		sg
अनुमति		sg		sg
दे		sg		sg
दी		sg		sg
।		UNK		UNK
अब		UNK		UNK
जोशीपुरा		sg		sg
अनिल		sg		sg
भारद्वाज		sg		sg
के		UNK		UNK
साथ		sg		sg
मिलकर		any		any
इस		sg		sg
परियोजना		sg		sg
पर		UNK		UNK
काम		sg		sg
करेंगे		sg		pl
।		UNK		UNK
जोशीपुरा		sg		sg
ने		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
अनिल		sg		sg
भारद्वाज		sg		sg
जल्द		UNK		UNK
ही		UNK		UNK
सरदार		sg		sg
पटेल		sg		sg
विश्वविद्यालय		sg		sg
आने		sg		pl
वाले		sg		pl
हैं		sg		pl
।		UNK		UNK
उनके		sg		sg
साथ		sg		sg
में		UNK		UNK
इस		sg		sg
शोध		sg		sg
परियोजना		sg		sg
पर		UNK		UNK
बात		sg		sg
-		UNK		UNK
चीत		sg		sg
करेंगे		sg		pl
।		UNK		UNK
NULL		UNK		UNK
गौरतलब		any		any
है		sg		sg
कि		UNK		UNK
जोशीपुरा		sg		sg
को		UNK		UNK
नासा		sg		sg
के		sg		sg
अलबामा		sg		UNK
स्थित		any		any
हेंसविले		sg		sg
रिसर्च		sg		sg
सेंटर		sg		sg
में		UNK		UNK
व्याख्यान		sg		sg
देने		any		any
के		UNK		UNK
लिए		UNK		UNK
आमंत्रित		any		any
किया		sg		sg
गया		sg		sg
था		sg		sg
।		UNK		UNK
मई		sg		sg
और		UNK		UNK
जून		sg		sg
में		UNK		UNK
उन्होंने		sg		sg
नासा		sg		sg
के		sg		sg
इस		sg		sg
केन्द्र		sg		sg
में		UNK		UNK
कई		UNK		UNK
व्याख्यान		pl		sg
दिए		pl		pl
।		UNK		UNK
जोशीपुरा		sg		sg
ने		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
इस		sg		sg
शोध		sg		sg
परियोजना		sg		sg
में		UNK		UNK
अपनी		any		any
भागीदारी		sg		sg
से		UNK		UNK
उन्होंने		sg		sg
विश्वविद्यालय		sg		sg
के		sg		sg
उप		any		sg
कुलपति		sg		sg
पी.		sg		sg
जे.		sg		sg
पटेल		sg		sg
को		UNK		UNK
अवगत		any		any
करा		sg		sg
दिया		sg		sg
है		sg		sg
।		UNK		UNK
पटेल		sg		sg
ने		UNK		UNK
उनकी		sg		sg
भरपूर		any		any
मदद		sg		sg
करने		sg		sg
का		sg		sg
वादा		sg		sg
किया		sg		sg
है		sg		sg
।		UNK		UNK
देश		sg		sg
का		sg		sg
एक		any		any
तिहाई		any		any
हिस्सा		sg		sg
सूखे		sg		sg
की		sg		sg
चपेट		sg		sg
में		UNK		UNK
आ		sg		sg
चुका		sg		sg
है		sg		sg
।		UNK		UNK
इसमें		sg		sg
हिमाचल		sg		sg
